Weeks SP,Age,Years,Pay,Gender
13,37,16,64,M
13,53,19,67,M
11,36,8,52,M
14,44,16,49,M
3,28,4,58,F
10,43,9,47,F
4,29,3,49,M
7,31,2,61,M
12,45,15,58,M
9,44,15,48,F
8,42,13,60,M
11,41,10,55,F
9,32,5,40,M
10,45,13,53,F
18,48,19,58,M
17,52,20,51,M
13,42,11,49,M
14,42,19,55,M
5,27,2,40,M
11,50,15,53,F
10,46,14,53,M
8,28,6,37,F
15,44,16,48,M
7,40,6,43,F
9,37,8,54,M
11,44,12,52,F
10,33,13,48,M
8,41,14,60,F
5,33,7,54,M
6,27,4,52,F
14,39,12,53,F
12,50,17,46,F
10,43,11,45,M
14,49,14,45,F
12,48,17,53,M
12,41,17,54,F
8,39,8,53,M
12,49,16,44,F
10,37,10,52,M
11,37,13,54,M
15,44,19,49,M
5,31,6,54,F
8,42,9,53,M
11,40,11,48,M
15,35,15,46,M
11,46,13,58,M
6,25,5,49,M
6,40,7,49,F
13,40,14,67,M
7,38,10,54,F
